,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,
No.,TYPE,AISC_MANUAL_LABEL,EDI_STD_NOMENCLATURE,Perfil Base-1,Perfil Base-2,IMCA-01,IMCA-02,AHMSA,Disp.,No.,T_F,BF_2TF,B_T,H_TW,H_T,D_T,H,TAN_ALPHA,QS,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,RX,RY,RZ,RO,A,Aw,WNO,ZX,SX,ZY,SY,C,QF,QW,IX,IY,J,SW,CW,W,Disp. 01,Disp. 02,Disp. 03,Disp. 04,Disp. 05,Disp. 06,Cntc 01,Cntc 02,Cntc 03,Cntc 04,Cntc 05,Cntc 06
400,MC,MC6X16.3,MC6X16.3,,,,,,"(,,,,,)",400,F,0.00,0.00,0.00,0.00,0.00,0.643,0.00,0.00,6.00,0,0,3.00,0,0,0.375,0.475,0,0,0.00,1.06,1.0625,0,0.927,0.00,0.930,0.465,0.00,2.33,0.887,0.00,3.11,4.79,,0.00,10.4,8.66,3.47,1.82,0.00,0.00,0.00,26.0,3.77,0.336,0.00,22.1,16.3,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
401,MC,MC6X15.1,MC6X15.1,,,,,,"(,,,,,)",401,F,0.00,0.00,0.00,0.00,0.00,0.634,0.00,0.00,6.00,0,0,2.94,0,0,0.316,0.475,0,0,0.00,1.06,1.0625,0,0.940,0.00,0.982,0.543,0.00,2.37,0.883,0.00,3.18,4.44,,0.00,9.83,8.30,3.30,1.73,0.00,0.00,0.00,24.9,3.46,0.285,0.00,20.5,15.1,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
402,MC,MC6X12,MC6X12,,,,,,"(,,,,,)",402,F,0.00,0.00,0.00,0.00,0.00,0.740,0.00,0.00,6.00,0,0,2.50,0,0,0.310,0.375,0,0,0.00,0.875,0.875,0,0.704,0.00,0.725,0.294,0.00,2.30,0.724,0.00,2.80,3.53,,0.00,7.47,6.24,1.97,1.03,0.00,0.00,0.00,18.7,1.85,0.155,0.00,11.3,12.0,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
403,MC,MC6x7,MC6x7,,,,,,"(,,,,,)",403,F,0.00,0.00,0.00,0.00,0.00,0.830,0.00,0.00,6.00,0,0,1.88,0,0,0.179,0.291,0,0,0.00,0.750,0.75,0,0.501,0.00,0.583,0.174,0.00,2.34,0.537,0.00,2.63,2.09,,0.00,4.50,3.81,0.865,0.439,0.00,0.00,0.00,11.4,0.603,0.0464,0.00,4.00,7.00,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
404,MC,MC6x6.5,MC6x6.5,,,,,,"(,,,,,)",404,F,0.00,0.00,0.00,0.00,0.00,0.824,0.00,0.00,6.00,0,0,1.85,0,0,0.155,0.291,0,0,0.00,0.750,0.75,0,0.513,0.00,0.612,0.191,0.00,2.38,0.539,0.00,2.68,1.95,,0.00,4.28,3.66,0.836,0.422,0.00,0.00,0.00,11.0,0.565,0.0412,0.00,3.75,6.50,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
405,MC,MC4x13.8,MC4x13.8,,,,,,"(,,,,,)",405,F,0.00,0.00,0.00,0.00,0.00,0.550,0.00,0.00,4.00,0,0,2.50,0,0,0.500,0.500,0,0,0.00,1.00,1,0,0.849,0.00,0.643,0.508,0.00,1.48,0.727,0.00,2.23,4.03,,0.00,5.53,4.43,2.40,1.29,0.00,0.00,0.00,8.85,2.13,0.373,0.00,4.84,13.8,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
406,MC,MC3x7.1,MC3x7.1,,,,,,"(,,,,,)",406,F,0.00,0.00,0.00,0.00,0.00,0.516,0.00,0.00,3.00,0,0,1.94,0,0,0.312,0.351,0,0,0.00,0.813,0.8125,0,0.653,0.00,0.574,0.414,0.00,1.14,0.562,0.00,1.76,2.11,,0.00,2.24,1.81,0.998,0.518,0.00,0.00,0.00,2.72,0.666,0.0928,0.00,0.915,7.10,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
407,L,L8X8X1-1/8,L8X8X1-1/8,,,,,,"(,Grdu,,,,)",407,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,8.00,0,0,0.00,8,0,0.00,0.00,1.125,0,0.00,1.75,1.75,0,2.40,2.40,1.05,1.05,1.05,2.41,2.41,1.56,4.29,16.7,,0.00,31.6,17.5,31.6,17.5,0.00,0.00,0.00,98.1,98.1,7.13,0.00,32.5,56.9,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
408,L,L8X8X1,L8X8X1,,,,,,"(,Grdu,,,,)",408,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,8.00,0,0,0.00,8,0,0.00,0.00,1,0,0.00,1.63,1.625,0,2.36,2.36,0.943,0.943,0.943,2.43,2.43,1.56,4.32,15.0,,0.00,28.5,15.8,28.5,15.8,0.00,0.00,0.00,89.1,89.1,5.08,0.00,23.4,51.0,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
409,L,L8X8X7/8,L8X8X7/8,,,,,,"(,Grdu,,,,)",409,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,8.00,0,0,0.00,8,0,0.00,0.00,0.875,0,0.00,1.50,1.5,0,2.31,2.31,0.832,0.832,0.832,2.45,2.45,1.57,4.36,13.2,,0.00,25.3,14.0,25.3,14.0,0.00,0.00,0.00,79.7,79.7,3.46,0.00,16.1,45.0,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
410,L,L8X8X3/4,L8X8X3/4,,,,,,"(,Grdu,,,,)",410,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,8.00,0,0,0.00,8,0,0.00,0.00,0.75,0,0.00,1.38,1.375,0,2.26,2.26,0.720,0.720,0.720,2.46,2.46,1.57,4.39,11.4,,0.00,22.0,12.2,22.0,12.2,0.00,0.00,0.00,69.9,69.9,2.21,0.00,10.4,38.9,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
411,L,L8X8X5/8,L8X8X5/8,,,,,,"(,Grdu,,,,)",411,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,8.00,0,0,0.00,8,0,0.00,0.00,0.625,0,0.00,1.25,1.25,0,2.21,2.21,0.606,0.606,0.606,2.48,2.48,1.58,4.42,9.61,,0.00,18.6,10.3,18.6,10.3,0.00,0.00,0.00,59.6,59.6,1.30,0.00,6.16,32.7,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
412,L,L8X8X9/16,L8X8X9/16,,,,,,"(,,,,,)",412,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.960,8.00,0,0,0.00,8,0,0.00,0.00,0.5625,0,0.00,1.19,1.1875,0,2.19,2.19,0.548,0.548,0.548,2.49,2.49,1.58,4.43,8.68,,0.00,16.8,9.33,16.8,9.33,0.00,0.00,0.00,54.2,54.2,0.961,0.00,4.55,29.6,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
413,L,L8X8X1/2,L8X8X1/2,,,,,,"(,Grdu,,,,)",413,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.910,8.00,0,0,0.00,8,0,0.00,0.00,0.5,0,0.00,1.13,1.125,0,2.17,2.17,0.490,0.490,0.490,2.49,2.49,1.59,4.45,7.75,,0.00,15.1,8.36,15.1,8.36,0.00,0.00,0.00,48.8,48.8,0.683,0.00,3.23,26.4,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
414,L,L6X6X1,L6X6X1,,,,,,"(,Grdu,,,,)",414,F,0.00,0.00,0.00,0.00,0.00,0.640,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,1,0,0.00,1.50,1.5,0,1.86,1.86,0.918,0.918,0.918,1.79,1.79,1.17,3.18,11.0,,0.00,15.4,8.55,15.4,8.55,0.00,0.00,0.00,35.4,35.4,3.68,0.00,9.24,37.4,,Grdu,,,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,,","(,Grdu,,,,","(,Grdu,,,,)"
415,L,L6X6X7/8,L6X6X7/8,,,,,,"(,,,,AHM,)",415,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,0.875,0,0.00,1.38,1.375,0,1.81,1.81,0.813,0.813,0.813,1.81,1.81,1.17,3.21,9.75,,0.00,13.7,7.61,13.7,7.61,0.00,0.00,0.00,31.9,31.9,2.51,0.00,6.41,33.1,,,,,AHM,,"(,","(,,","(,,,","(,,,,","(,,,,AHM,","(,,,,AHM,)"
416,L,L6X6X3/4,L6X6X3/4,,,,,,"(,Grdu,Vllcro,DeAc,AHM,)",416,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,0.75,0,0.00,1.25,1.25,0,1.77,1.77,0.705,0.705,0.705,1.82,1.82,1.17,3.24,8.46,,0.00,11.9,6.64,11.9,6.64,0.00,0.00,0.00,28.1,28.1,1.61,0.00,4.17,28.7,,Grdu,Vllcro,DeAc,AHM,,"(,","(,Grdu,","(,Grdu,Vllcro,","(,Grdu,Vllcro,DeAc,","(,Grdu,Vllcro,DeAc,AHM,","(,Grdu,Vllcro,DeAc,AHM,)"
417,L,L6X6X5/8,L6X6X5/8,,,,,,"(Clldo,Grdu,Vllcro,DeAc,AHM,)",417,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,0.625,0,0.00,1.13,1.125,0,1.72,1.72,0.594,0.594,0.594,1.84,1.84,1.17,3.28,7.13,,0.00,10.1,5.64,10.1,5.64,0.00,0.00,0.00,24.1,24.1,0.955,0.00,2.50,24.2,Clldo,Grdu,Vllcro,DeAc,AHM,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,AHM,","(Clldo,Grdu,Vllcro,DeAc,AHM,)"
418,L,L6X6X9/16,L6X6X9/16,,,,,,"(,,,DeAc,AHM,)",418,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,0.5625,0,0.00,1.06,1.0625,0,1.70,1.70,0.538,0.538,0.538,1.85,1.85,1.18,3.29,6.45,,0.00,9.18,5.12,9.17,5.12,0.00,0.00,0.00,22.0,22.0,0.704,0.00,1.85,21.9,,,,DeAc,AHM,,"(,","(,,","(,,,","(,,,DeAc,","(,,,DeAc,AHM,","(,,,DeAc,AHM,)"
419,L,L6X6X1/2,L6X6X1/2,,,,,,"(Clldo,Grdu,Vllcro,DeAc,AHM,)",419,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,6.00,0,0,0.00,6,0,0.00,0.00,0.5,0,0.00,1.00,1,0,1.67,1.67,0.481,0.481,0.481,1.86,1.86,1.18,3.31,5.77,,0.00,8.22,4.59,8.22,4.59,0.00,0.00,0.00,19.9,19.9,0.501,0.00,1.32,19.6,Clldo,Grdu,Vllcro,DeAc,AHM,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,AHM,","(Clldo,Grdu,Vllcro,DeAc,AHM,)"
420,L,L6X6X7/16,L6X6X7/16,,,,,,"(,,,DeAc,AHM,)",420,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.970,6.00,0,0,0.00,6,0,0.00,0.00,0.4375,0,0.00,0.938,0.9375,0,1.65,1.65,0.423,0.423,0.423,1.86,1.86,1.18,3.32,5.08,,0.00,7.25,4.06,7.25,4.06,0.00,0.00,0.00,17.6,17.6,0.340,0.00,0.899,17.2,,,,DeAc,AHM,,"(,","(,,","(,,,","(,,,DeAc,","(,,,DeAc,AHM,","(,,,DeAc,AHM,)"
421,L,L6X6X3/8,L6X6X3/8,,,,,,"(Clldo,Grdu,Vllcro,DeAc,AHM,)",421,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.910,6.00,0,0,0.00,6,0,0.00,0.00,0.375,0,0.00,0.875,0.875,0,1.62,1.62,0.365,0.365,0.365,1.87,1.87,1.19,3.34,4.38,,0.00,6.27,3.51,6.26,3.51,0.00,0.00,0.00,15.4,15.4,0.218,0.00,0.575,14.9,Clldo,Grdu,Vllcro,DeAc,AHM,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,AHM,","(Clldo,Grdu,Vllcro,DeAc,AHM,)"
422,L,L6X6X5/16,L6X6X5/16,,,,,,"(,,,,,)",422,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.830,6.00,0,0,0.00,6,0,0.00,0.00,0.3125,0,0.00,0.813,0.8125,0,1.60,1.60,0.306,0.306,0.306,1.88,1.88,1.19,3.35,3.67,,0.00,5.26,2.95,5.26,2.95,0.00,0.00,0.00,13.0,13.0,0.129,0.00,0.338,12.4,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
423,L,L5X5X7/8,L5X5X7/8,,,,,,"(,,,,,)",423,F,0.00,0.00,0.00,0.00,0.00,0.640,1.00,1.00,5.00,0,0,0.00,5,0,0.00,0.00,0.875,0,0.00,1.38,1.375,0,1.56,1.56,0.802,0.802,0.802,1.49,1.49,0.971,2.64,7.98,,0.00,9.31,5.16,9.30,5.16,0.00,0.00,0.00,17.8,17.8,2.07,0.00,3.53,27.2,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
424,L,L5X5X3/4,L5X5X3/4,,,,,,"(,Grdu,,DeAc,,)",424,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,5.00,0,0,0.00,5,0,0.00,0.00,0.75,0,0.00,1.25,1.25,0,1.52,1.52,0.698,0.698,0.698,1.50,1.50,0.972,2.67,6.94,,0.00,8.14,4.52,8.14,4.52,0.00,0.00,0.00,15.7,15.7,1.33,0.00,2.32,23.6,,Grdu,,DeAc,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,DeAc,","(,Grdu,,DeAc,,","(,Grdu,,DeAc,,)"
425,L,L5X5X5/8,L5X5X5/8,,,,,,"(,Grdu,,DeAc,,)",425,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,5.00,0,0,0.00,5,0,0.00,0.00,0.625,0,0.00,1.13,1.125,0,1.47,1.47,0.590,0.590,0.590,1.52,1.52,0.975,2.70,5.86,,0.00,6.93,3.85,6.92,3.85,0.00,0.00,0.00,13.6,13.6,0.792,0.00,1.40,20.0,,Grdu,,DeAc,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,DeAc,","(,Grdu,,DeAc,,","(,Grdu,,DeAc,,)"
426,L,L5X5X1/2,L5X5X1/2,,,,,,"(,Grdu,Vllcro,DeAc,,)",426,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,5.00,0,0,0.00,5,0,0.00,0.00,0.5,0,0.00,1.00,1,0,1.42,1.42,0.479,0.479,0.479,1.53,1.53,0.980,2.73,4.75,,0.00,5.66,3.15,5.66,3.15,0.00,0.00,0.00,11.3,11.3,0.417,0.00,0.744,16.2,,Grdu,Vllcro,DeAc,,,"(,","(,Grdu,","(,Grdu,Vllcro,","(,Grdu,Vllcro,DeAc,","(,Grdu,Vllcro,DeAc,,","(,Grdu,Vllcro,DeAc,,)"
427,L,L5X5X7/16,L5X5X7/16,,,,,,"(,,,DeAc,,)",427,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,5.00,0,0,0.00,5,0,0.00,0.00,0.4375,0,0.00,0.938,0.9375,0,1.40,1.40,0.422,0.422,0.422,1.54,1.54,0.983,2.74,4.18,,0.00,5.00,2.78,5.00,2.78,0.00,0.00,0.00,10.0,10.0,0.284,0.00,0.508,14.3,,,,DeAc,,,"(,","(,,","(,,,","(,,,DeAc,","(,,,DeAc,,","(,,,DeAc,,)"
428,L,L5X5X3/8,L5X5X3/8,,,,,,"(,Grdu,Vllcro,DeAc,,)",428,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.980,5.00,0,0,0.00,5,0,0.00,0.00,0.375,0,0.00,0.875,0.875,0,1.37,1.37,0.365,0.365,0.365,1.55,1.55,0.986,2.76,3.61,,0.00,4.33,2.41,4.33,2.41,0.00,0.00,0.00,8.76,8.76,0.183,0.00,0.327,12.3,,Grdu,Vllcro,DeAc,,,"(,","(,Grdu,","(,Grdu,Vllcro,","(,Grdu,Vllcro,DeAc,","(,Grdu,Vllcro,DeAc,,","(,Grdu,Vllcro,DeAc,,)"
429,L,L5X5X5/16,L5X5X5/16,,,,,,"(,,Vllcro,DeAc,,)",429,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.910,5.00,0,0,0.00,5,0,0.00,0.00,0.3125,0,0.00,0.813,0.8125,0,1.35,1.35,0.307,0.307,0.307,1.56,1.56,0.990,2.77,3.03,,0.00,3.65,2.04,3.65,2.04,0.00,0.00,0.00,7.44,7.44,0.108,0.00,0.193,10.3,,,Vllcro,DeAc,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,DeAc,","(,,Vllcro,DeAc,,","(,,Vllcro,DeAc,,)"
430,L,L4X4X3/4,L4X4X3/4,,,,,,"(,Grdu,,DeAc,,)",430,F,0.00,0.00,0.00,0.00,0.00,0.640,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.75,0,0.00,1.13,1.125,0,1.27,1.27,0.679,0.679,0.679,1.18,1.18,0.774,2.10,5.44,,0.00,5.02,2.79,5.01,2.79,0.00,0.00,0.00,7.62,7.62,1.02,0.00,1.12,18.5,,Grdu,,DeAc,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,DeAc,","(,Grdu,,DeAc,,","(,Grdu,,DeAc,,)"
431,L,L4X4X5/8,L4X4X5/8,,,,,,"(,Grdu*,Vllcro,DeAc,,)",431,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.625,0,0.00,1.00,1,0,1.22,1.22,0.576,0.576,0.576,1.20,1.20,0.774,2.13,4.61,,0.00,4.28,2.38,4.28,2.38,0.00,0.00,0.00,6.62,6.62,0.610,0.00,0.680,15.7,,Grdu*,Vllcro,DeAc,,,"(,","(,Grdu*,","(,Grdu*,Vllcro,","(,Grdu*,Vllcro,DeAc,","(,Grdu*,Vllcro,DeAc,,","(,Grdu*,Vllcro,DeAc,,)"
432,L,L4X4X1/2,L4X4X1/2,,,,,,"(Clldo,Grdu,,DeAc,,)",432,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.5,0,0.00,0.875,0.875,0,1.18,1.18,0.468,0.468,0.468,1.21,1.21,0.776,2.16,3.75,,0.00,3.50,1.96,3.50,1.96,0.00,0.00,0.00,5.52,5.52,0.322,0.00,0.366,12.8,Clldo,Grdu,,DeAc,,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,,","(Clldo,Grdu,,DeAc,","(Clldo,Grdu,,DeAc,,","(Clldo,Grdu,,DeAc,,)"
433,L,L4X4X7/16,L4X4X7/16,,,,,,"(,Grdu,,DeAc,,)",433,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.4375,0,0.00,0.813,0.8125,0,1.15,1.15,0.413,0.413,0.413,1.22,1.22,0.777,2.18,3.31,,0.00,3.10,1.73,3.10,1.73,0.00,0.00,0.00,4.93,4.93,0.220,0.00,0.252,11.3,,Grdu,,DeAc,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,DeAc,","(,Grdu,,DeAc,,","(,Grdu,,DeAc,,)"
434,L,L4X4X3/8,L4X4X3/8,,,,,,"(Clldo,Grdu,Vllcro,DeAc,,)",434,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.375,0,0.00,0.750,0.75,0,1.13,1.13,0.357,0.357,0.357,1.23,1.23,0.779,2.19,2.86,,0.00,2.69,1.50,2.68,1.50,0.00,0.00,0.00,4.32,4.32,0.141,0.00,0.162,9.80,Clldo,Grdu,Vllcro,DeAc,,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,,","(Clldo,Grdu,Vllcro,DeAc,,)"
435,L,L4X4X5/16,L4X4X5/16,,,,,,"(Clldo,Grdu,Vllcro,DeAc,,)",435,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,4.00,0,0,0.00,4,0,0.00,0.00,0.3125,0,0.00,0.688,0.6875,0,1.11,1.11,0.300,0.300,0.300,1.24,1.24,0.781,2.21,2.40,,0.00,2.26,1.27,2.26,1.27,0.00,0.00,0.00,3.67,3.67,0.0832,0.00,0.0963,8.20,Clldo,Grdu,Vllcro,DeAc,,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,,","(Clldo,Grdu,Vllcro,DeAc,,)"
436,L,L4X4X1/4,L4X4X1/4,,,,,,"(Clldo,Grdu,Vllcro,DeAc,,)",436,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.910,4.00,0,0,0.00,4,0,0.00,0.00,0.25,0,0.00,0.625,0.625,0,1.08,1.08,0.242,0.242,0.242,1.25,1.25,0.783,2.22,1.94,,0.00,1.82,1.03,1.82,1.03,0.00,0.00,0.00,3.00,3.00,0.0438,0.00,0.0505,6.60,Clldo,Grdu,Vllcro,DeAc,,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,,","(Clldo,Grdu,Vllcro,DeAc,,)"
437,L,L3-1/2X3-1/2X1/2,L3-1/2X3-1/2X1/2,,,,,,"(,,Vllcro,DeAc,,)",437,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.50,0,0,0.00,3.5,0,0.00,0.00,0.5,0,0.00,0.875,0.875,0,1.05,1.05,0.466,0.466,0.466,1.05,1.05,0.679,1.87,3.25,,0.00,2.66,1.48,2.66,1.48,0.00,0.00,0.00,3.63,3.63,0.281,0.00,0.238,11.1,,,Vllcro,DeAc,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,DeAc,","(,,Vllcro,DeAc,,","(,,Vllcro,DeAc,,)"
438,L,L3-1/2X3-1/2X7/16,L3-1/2X3-1/2X7/16,,,,,,"(,Grdu,,DeAc,,)",438,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.50,0,0,0.00,3.5,0,0.00,0.00,0.4375,0,0.00,0.813,0.8125,0,1.03,1.03,0.412,0.412,0.412,1.06,1.06,0.681,1.89,2.87,,0.00,2.36,1.32,2.36,1.32,0.00,0.00,0.00,3.25,3.25,0.192,0.00,0.164,9.80,,Grdu,,DeAc,,,"(,","(,Grdu,","(,Grdu,,","(,Grdu,,DeAc,","(,Grdu,,DeAc,,","(,Grdu,,DeAc,,)"
439,L,L3-1/2X3-1/2X3/8,L3-1/2X3-1/2X3/8,,,,,,"(,Grdu*,Vllcro,DeAc,,)",439,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.50,0,0,0.00,3.5,0,0.00,0.00,0.375,0,0.00,0.750,0.75,0,1.00,1.00,0.357,0.357,0.357,1.07,1.07,0.683,1.90,2.48,,0.00,2.06,1.15,2.05,1.15,0.00,0.00,0.00,2.86,2.86,0.123,0.00,0.106,8.50,,Grdu*,Vllcro,DeAc,,,"(,","(,Grdu*,","(,Grdu*,Vllcro,","(,Grdu*,Vllcro,DeAc,","(,Grdu*,Vllcro,DeAc,,","(,Grdu*,Vllcro,DeAc,,)"
440,L,L3-1/2X3-1/2X5/16,L3-1/2X3-1/2X5/16,,,,,,"(,Grdu,Vllcro,DeAc,,)",440,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.50,0,0,0.00,3.5,0,0.00,0.00,0.3125,0,0.00,0.688,0.6875,0,0.979,0.979,0.301,0.301,0.301,1.08,1.08,0.685,1.92,2.09,,0.00,1.74,0.969,1.74,0.969,0.00,0.00,0.00,2.44,2.44,0.0731,0.00,0.0634,7.20,,Grdu,Vllcro,DeAc,,,"(,","(,Grdu,","(,Grdu,Vllcro,","(,Grdu,Vllcro,DeAc,","(,Grdu,Vllcro,DeAc,,","(,Grdu,Vllcro,DeAc,,)"
441,L,L3-1/2X3-1/2X1/4,L3-1/2X3-1/2X1/4,,,,,,"(,Grdu,Vllcro,DeAc,,)",441,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,0.970,3.50,0,0,0.00,3.5,0,0.00,0.00,0.25,0,0.00,0.625,0.625,0,0.954,0.954,0.243,0.243,0.243,1.09,1.09,0.688,1.93,1.69,,0.00,1.41,0.787,1.41,0.787,0.00,0.00,0.00,2.00,2.00,0.0386,0.00,0.0334,5.80,,Grdu,Vllcro,DeAc,,,"(,","(,Grdu,","(,Grdu,Vllcro,","(,Grdu,Vllcro,DeAc,","(,Grdu,Vllcro,DeAc,,","(,Grdu,Vllcro,DeAc,,)"
442,L,L3X3X1/2,L3X3X1/2,,,,,,"(Clldo,Grdu,Vllcro,DeAc,,)",442,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.00,0,0,0.00,3,0,0.00,0.00,0.5,0,0.00,0.875,0.875,0,0.929,0.929,0.458,0.458,0.458,0.895,0.895,0.580,1.59,2.75,,0.00,1.91,1.06,1.91,1.06,0.00,0.00,0.00,2.20,2.20,0.230,0.00,0.144,9.40,Clldo,Grdu,Vllcro,DeAc,,,"(Clldo,","(Clldo,Grdu,","(Clldo,Grdu,Vllcro,","(Clldo,Grdu,Vllcro,DeAc,","(Clldo,Grdu,Vllcro,DeAc,,","(Clldo,Grdu,Vllcro,DeAc,,)"
443,L,L3X3X7/16,L3X3X7/16,,,,,,"(,,,DeAc,,)",443,F,0.00,0.00,0.00,0.00,0.00,0.630,1.00,1.00,3.00,0,0,0.00,3,0,0.00,0.00,0.4375,0,0.00,0.813,0.8125,0,0.907,0.907,0.405,0.405,0.405,0.903,0.903,0.580,1.60,2.43,,0.00,1.70,0.946,1.70,0.946,0.00,0.00,0.00,1.98,1.98,0.157,0.00,0.100,8.30,,,,DeAc,,,"(,","(,,","(,,,","(,,,DeAc,","(,,,DeAc,,","(,,,DeAc,,)"
