,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,
No.,TYPE,AISC_MANUAL_LABEL,EDI_STD_NOMENCLATURE,Perfil Base-1,Perfil Base-2,IMCA-01,IMCA-02,AHMSA,Disp.,No.,T_F,BF_2TF,B_T,H_TW,H_T,D_T,H,TAN_ALPHA,QS,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,RX,RY,RZ,RO,A,Aw,WNO,ZX,SX,ZY,SY,C,QF,QW,IX,IY,J,SW,CW,W,Disp. 01,Disp. 02,Disp. 03,Disp. 04,Disp. 05,Disp. 06,Cntc 01,Cntc 02,Cntc 03,Cntc 04,Cntc 05,Cntc 06
12,W,W40X297,W40X297,,,,,IPR40X16X297,"(,,Vllcro,,,)",12,F,4.80,0.00,36.8,0.00,0.00,0.00,0.00,0.00,39.8,0,0,15.8,0,0,0.930,1.65,0,0,0.00,2.83,2.9375,1.6875,0.00,0.00,0.00,0.00,0.00,16.3,3.54,0.00,0.00,87.4,37.0,151,1330,1170,215,138,0.00,234,652,23200,1090,61.2,982,399000,297,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
13,W,W40X277,W40X277,,,,,IPR40X16X277,"(,,Vllcro,,,)",13,F,5.03,0.00,41.2,0.00,0.00,0.00,0.00,0.00,39.7,0,0,15.8,0,0,0.830,1.58,0,0,0.00,2.76,2.875,1.625,0.00,0.00,0.00,0.00,0.00,16.4,3.58,0.00,0.00,81.4,33.0,151,1250,1100,204,132,0.00,225,614,21900,1040,51.5,940,379000,277,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
14,W,W40X249,W40X249,,,,,IPR40X16X249,"(,,Vllcro,,,)",14,F,5.55,0.00,45.6,0.00,0.00,0.00,0.00,0.00,39.4,0,0,15.8,0,0,0.750,1.42,0,0,0.00,2.60,2.6875,1.5625,0.00,0.00,0.00,0.00,0.00,16.3,3.55,0.00,0.00,73.3,29.6,150,1120,993,182,118,0.00,203,551,19600,926,38.1,841,334000,249,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
15,W,W40X215,W40X215,,,,,IPR40X16X215,"(,,Vllcro,,,)",15,F,6.45,0.00,52.6,0.00,0.00,0.00,0.00,0.00,39.0,0,0,15.8,0,0,0.650,1.22,0,0,0.00,2.40,2.5,1.5625,0.00,0.00,0.00,0.00,0.00,16.2,3.54,0.00,0.00,63.4,25.4,149,964,859,156,101,0.00,175,473,16700,796,24.8,719,284000,215,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
16,W,W40X199,W40X199,,,,,IPR40X16X199,"(,,Vllcro,,,)",16,F,7.39,0.00,52.6,0.00,0.00,0.00,0.00,0.00,38.7,0,0,15.8,0,0,0.650,1.07,0,0,0.00,2.25,2.3125,1.5625,0.00,0.00,0.00,0.00,0.00,16.0,3.45,0.00,0.00,58.5,25.2,149,869,770,137,88.2,0.00,153,427,14900,695,18.3,628,246000,199,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
17,W,W40X392,W40X392,,,,,,"(,,,,,)",17,T,2.45,0.00,24.1,0.00,0.00,0.00,0.00,0.00,41.6,0,0,12.4,0,0,1.42,2.52,0,0,0.00,3.70,3.8125,1.9375,0.00,0.00,0.00,0.00,0.00,16.1,2.64,0.00,0.00,115,59.1,121,1710,1440,212,130,0.00,270,848,29900,803,172,946,306000,392,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
18,W,W40X331,W40X331,,,,,,"(,,,,,)",18,T,2.86,0.00,28.0,0.00,0.00,0.00,0.00,0.00,40.8,0,0,12.2,0,0,1.22,2.13,0,0,0.00,3.31,3.375,1.8125,0.00,0.00,0.00,0.00,0.00,15.9,2.57,0.00,0.00,97.5,49.8,118,1430,1210,172,106,0.00,226,706,24700,644,105,766,241000,331,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
19,W,W40X327,W40X327,,,,,IPR40X12X327,"(,,Vllcro,,,)",19,T,2.85,0.00,29.0,0.00,0.00,0.00,0.00,0.00,40.8,0,0,12.1,0,0,1.18,2.13,0,0,0.00,3.31,3.375,1.8125,0.00,0.00,0.00,0.00,0.00,16.0,2.58,0.00,0.00,96.0,48.1,117,1410,1200,170,105,0.00,225,695,24500,640,103,754,239000,327,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
20,W,W40X294,W40X294,,,,,IPR40X12X294,"(,,Vllcro,,,)",20,F,3.11,0.00,32.2,0.00,0.00,0.00,0.00,0.00,40.4,0,0,12.0,0,0,1.06,1.93,0,0,0.00,3.11,3.1875,1.75,0.00,0.00,0.00,0.00,0.00,15.9,2.55,0.00,0.00,86.3,42.8,115,1270,1080,150,93.5,0.00,203,622,21900,562,76.6,668,208000,294,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
21,W,W40X278,W40X278,,,,,IPR40X12X278,"(,,Vllcro,,,)",21,F,3.31,0.00,33.3,0.00,0.00,0.00,0.00,0.00,40.2,0,0,12.0,0,0,1.03,1.81,0,0,0.00,2.99,3.0625,1.75,0.00,0.00,0.00,0.00,0.00,15.8,2.52,0.00,0.00,82.0,41.4,115,1190,1020,140,87.1,0.00,190,587,20500,521,65.0,622,192000,278,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
